0	0.00
55	0.02
83	0.04
141	0.10
193	0.17
405	0.47
565	0.63
862	0.84
1355	1.04
2352	1.24
4905	1.44
11258	1.63
25221	1.84
49535	2.00
74535	2.08
99535	2.14
124535	2.18
149535	2.23
189535	2.29
229535	2.35
279535	2.43
304535	2.46
